ID,Job_Title,Estimated_Employment,Entry_Hourly,Entry_Annual,Mean_Hourly,Mean_Annual,Hourly_25th_Percentile,Annual_25th_Percentile,Median_Hourly,Median_Annual,Hourly_75th_Percentile,Annual_75th_Percentile,Experienced_Hourly,Experienced_Annual,Year,Zone
5,"Software Developers, Systems Software",N/A,20,"42,517",34,"71,531",23,"46,828",33,"68,365",40,"83,887",60,"125,210",2018,South Central
6,Web Developers,N/A,15,"31,851",25,"52,586",19,"39,797",25,"52,067",31,"63,794",37,"76,744",2018,South Central
7,Database Administrators,20,19,"39,612",31,"64,008",22,"45,494",32,"65,601",40,"82,247",47,"97,114",2018,South Central
8,Network and Computer Systems Administrators,200,18,"37,002",30,"62,069",22,"46,706",29,"59,901",37,"76,391",45,"93,132",2018,South Central
9,Computer Network Architects,20,23,"47,863",34,"70,877",28,"58,680",35,"71,863",40,"82,556",46,"96,250",2018,South Central
10,Computer User Support Specialists,190,13,"26,145",20,"42,194",15,"31,356",19,"38,875",23,"48,554",30,"62,170",2018,South Central
11,Computer Network Support Specialists,60,14,"29,144",24,"50,323",18,"37,515",26,"54,122",30,"61,443",32,"66,461",2018,South Central
12,"Computer Occupations, All Other",20,14,"29,542",32,"66,319",21,"42,725",29,"61,220",42,"88,037",52,"108,954",2018,South Central
13,Operations Research Analysts,10,17,"34,403",28,"58,543",20,"41,991",24,"49,257",34,"71,453",49,"102,076",2018,South Central
1,Computer Systems Analysts,120,18,"37,790",30,"63,398",23,"46,828",28,"58,814",38,"78,012",48,"99,686",2018,West Kentucky
2,Information Security Analysts,30,21,"43,986",33,"68,358",25,"51,266",31,"65,359",39,"80,431",47,"97,041",2018,West Kentucky
3,Computer Programmers,50,15,"32,097",30,"61,566",21,"44,067",30,"62,144",38,"79,973",44,"92,454",2018,West Kentucky
4,"Software Developers, Applications",160,21,"43,635",34,"70,224",26,"53,250",33,"68,656",41,"84,641",48,"99,471",2018,West Kentucky
5,"Software Developers, Systems Software",100,25,"52,651",37,"77,243",29,"61,302",36,"74,424",44,"91,157",52,"107,557",2018,West Kentucky
6,Web Developers,30,14,"28,089",28,"58,637",17,"35,220",30,"62,712",37,"76,056",43,"90,188",2018,West Kentucky
7,Database Administrators,20,19,"40,344",27,"56,793",22,"45,184",26,"55,009",31,"65,204",38,"79,661",2018,West Kentucky
8,Network and Computer Systems Administrators,210,17,"35,251",27,"55,930",21,"43,672",27,"55,499",33,"68,037",38,"78,663",2018,West Kentucky
9,Computer Network Architects,50,17,"34,852",27,"56,243",21,"42,676",26,"54,798",31,"64,801",39,"80,747",2018,West Kentucky
10,Computer User Support Specialists,290,11,"21,830",19,"40,085",12,"24,825",16,"33,923",24,"49,233",35,"71,771",2018,West Kentucky
11,Computer Network Support Specialists,50,17,"34,637",28,"57,581",22,"45,309",28,"57,353",31,"64,536",41,"84,646",2018,West Kentucky
12,"Computer Occupations, All Other",140,14,"29,395",34,"71,356",31,"64,784",35,"73,285",40,"83,065",46,"95,275",2018,West Kentucky
13,Operations Research Analysts,30,26,"53,399",42,"86,505",28,"58,773",37,"77,747",56,"116,292",63,"131,074",2018,West Kentucky
1,Computer Systems Analysts,"1,680",23,"47,455",37,"76,004",28,"57,200",34,"71,210",44,"91,920",56,"116,156",2017,Kentuckiana Works
2,Information Security Analysts,200,21,"43,608",38,"80,027",26,"53,889",35,"72,208",52,"107,697",62,"128,241",2017,Kentuckiana Works
3,Computer Programmers,670,27,"55,118",38,"79,627",32,"67,298",38,"78,688",44,"92,420",49,"102,471",2017,Kentuckiana Works
4,"Software Developers, Applications","2,530",26,"53,831",40,"83,259",31,"65,514",39,"81,704",49,"101,679",58,"121,319",2017,Kentuckiana Works
5,"Software Developers, Systems Software",790,32,"67,257",44,"92,511",38,"78,406",44,"92,478",50,"104,139",59,"123,564",2017,Kentuckiana Works
6,Web Developers,330,17,"35,339",28,"58,796",20,"41,208",26,"53,871",34,"70,312",40,"82,377",2017,Kentuckiana Works
7,Database Administrators,520,19,"40,280",37,"77,364",25,"52,453",36,"74,950",47,"97,957",59,"121,757",2017,Kentuckiana Works
8,Network and Computer Systems Administrators,"1,080",20,"42,387",34,"71,104",25,"52,592",32,"66,064",40,"83,445",50,"103,430",2017,Kentuckiana Works
9,Computer Network Architects,630,23,"47,171",41,"84,523",28,"58,644",40,"83,832",52,"107,500",62,"128,190",2017,Kentuckiana Works
10,Computer User Support Specialists,"1,840",13,"27,149",22,"45,817",16,"34,261",20,"42,139",27,"56,694",33,"69,009",2017,Kentuckiana Works
11,Computer Network Support Specialists,480,20,"41,617",29,"59,296",23,"47,856",28,"57,468",33,"69,432",39,"80,623",2017,Kentuckiana Works
12,"Computer Occupations, All Other","1,010",22,"46,605",42,"87,472",30,"61,481",40,"82,689",55,"113,990",65,"135,457",2017,Kentuckiana Works
13,Operations Research Analysts,620,22,"46,204",36,"74,054",30,"62,064",35,"73,789",41,"84,344",50,"103,388",2017,Kentuckiana Works
14,Statisticians,60,21,"44,471",36,"74,393",29,"59,996",36,"75,175",45,"93,483",50,"103,371",2017,Kentuckiana Works
1,Computer Systems Analysts,"1,320",21,"44,369",36,"75,378",26,"54,415",33,"69,564",45,"93,019",58,"120,090",2017,Bluegrass
2,Information Security Analysts,70,25,"52,915",42,"87,624",32,"65,845",43,"89,187",48,"100,365",64,"133,337",2017,Bluegrass
3,Computer Programmers,270,14,"29,667",32,"66,670",18,"38,379",29,"60,657",39,"81,761",52,"107,266",2017,Bluegrass
4,"Software Developers, Applications","1,250",23,"48,050",37,"77,576",28,"58,706",36,"74,226",46,"95,032",55,"114,509",2017,Bluegrass
5,"Software Developers, Systems Software",470,26,"54,442",39,"81,979",32,"66,593",37,"77,843",47,"97,509",58,"119,847",2017,Bluegrass
6,Web Developers,340,17,"35,671",30,"62,293",22,"46,128",30,"61,434",39,"81,113",44,"92,525",2017,Bluegrass
7,Database Administrators,300,18,"36,539",33,"67,773",22,"45,404",29,"61,055",38,"78,123",49,"101,564",2017,Bluegrass
8,Network and Computer Systems Administrators,660,18,"36,751",28,"59,137",22,"45,355",28,"57,439",35,"72,250",42,"86,315",2017,Bluegrass
9,Computer Network Architects,400,21,"44,279",33,"69,481",25,"51,685",31,"63,658",41,"84,312",50,"104,041",2017,Bluegrass
10,Computer User Support Specialists,"1,020",11,"23,885",21,"44,583",16,"33,443",21,"43,182",26,"53,379",31,"63,730",2017,Bluegrass
11,Computer Network Support Specialists,340,17,"35,102",26,"55,054",21,"43,901",27,"55,336",31,"63,655",37,"76,007",2017,Bluegrass
12,"Computer Occupations, All Other",410,10,"20,945",33,"69,474",15,"31,099",35,"73,280",45,"93,481",55,"114,696",2017,Bluegrass
13,Operations Research Analysts,90,19,"40,107",31,"64,069",23,"47,277",28,"58,567",39,"81,019",47,"98,418",2017,Bluegrass
14,Statisticians,20,21,"44,562",30,"62,681",24,"50,680",30,"62,928",36,"74,510",39,"81,201",2017,Bluegrass
1,Computer Systems Analysts,380,24,"49,332",37,"77,175",29,"60,128",36,"75,169",45,"93,190",53,"109,390",2017,Northern Kentucky
2,Information Security Analysts,60,20,"41,337",37,"77,214",24,"49,704",38,"78,377",47,"97,189",53,"111,159",2017,Northern Kentucky
3,Computer Programmers,100,14,"29,118",29,"61,108",22,"45,099",29,"59,784",38,"77,990",46,"95,028",2017,Northern Kentucky
4,"Software Developers, Applications",290,23,"46,977",37,"77,037",28,"58,654",37,"75,974",46,"95,156",52,"107,511",2017,Northern Kentucky
