ID,Job_Title,Estimated_Employment,Entry_Hourly,Entry_Annual,Mean_Hourly,Mean_Annual,Hourly_25th_Percentile,Annual_25th_Percentile,Median_Hourly,Median_Annual,Hourly_75th_Percentile,Annual_75th_Percentile,Experienced_Hourly,Experienced_Annual,Year,Zone
11,Computer Network Support Specialists,80,18,"36,680",31,"63,550",23,"46,992",29,"60,812",38,"79,174",45,"93,372",2016,Western Kentucky
12,"Computer Occupations, All Other",60,30,"61,736",38,"78,110",33,"68,190",36,"74,442",44,"92,136",49,"100,995",2016,Western Kentucky
13,Operations Research Analysts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016,Western Kentucky
1,Computer Systems Analysts,"1,300",21,"44,086",34,"71,066",25,"52,454",33,"67,855",42,"86,549",49,"102,595",2015,Kentuckiana Works
2,Information Security Analysts,130,24,"48,905",38,"78,103",28,"58,285",36,"75,132",46,"95,283",57,"118,788",2015,Kentuckiana Works
3,Computer Programmers,580,17,"35,381",32,"65,978",22,"46,161",31,"63,644",40,"82,673",47,"98,380",2015,Kentuckiana Works
4,"Software Developers, Applications","2,950",19,"38,665",37,"76,281",28,"58,746",37,"77,424",45,"93,944",53,"109,913",2015,Kentuckiana Works
5,"Software Developers, Systems Software",650,28,"58,687",42,"87,581",35,"71,936",43,"88,509",49,"101,626",57,"119,556",2015,Kentuckiana Works
6,Web Developers,330,11,"23,507",26,"55,034",20,"40,768",24,"49,466",32,"65,656",42,"88,354",2015,Kentuckiana Works
7,Database Administrators,530,20,"40,998",36,"75,068",25,"52,341",38,"78,065",44,"92,456",54,"111,932",2015,Kentuckiana Works
8,Network and Computer Systems Administrators,"1,170",20,"40,902",33,"68,472",24,"50,277",32,"66,379",40,"84,179",46,"95,969",2015,Kentuckiana Works
9,Computer Network Architects,640,23,"48,520",42,"87,758",30,"61,588",42,"86,303",54,"112,414",62,"129,855",2015,Kentuckiana Works
10,Computer User Support Specialists,"1,730",15,"31,381",23,"47,248",18,"36,607",22,"44,853",27,"55,700",33,"67,717",2015,Kentuckiana Works
11,Computer Network Support Specialists,700,15,"31,657",24,"49,983",18,"36,936",22,"46,792",29,"61,343",36,"74,256",2015,Kentuckiana Works
12,"Computer Occupations, All Other","1,150",19,"40,054",33,"69,606",23,"47,899",31,"64,220",43,"89,359",53,"110,522",2015,Kentuckiana Works
13,Operations Research Analysts,460,20,"41,201",34,"69,717",25,"52,146",30,"62,725",41,"86,137",49,"102,748",2015,Kentuckiana Works
14,Statisticians,70,24,"50,524",38,"78,470",32,"66,458",38,"78,029",44,"92,202",50,"103,855",2015,Kentuckiana Works
1,Computer Systems Analysts,970,20,"42,593",33,"68,033",25,"51,600",30,"62,410",37,"76,477",48,"100,266",2015,Bluegrass
2,Information Security Analysts,80,21,"43,945",35,"72,083",25,"51,582",32,"66,239",44,"91,531",50,"104,506",2015,Bluegrass
3,Computer Programmers,210,17,"36,263",30,"61,653",23,"46,838",30,"62,433",36,"74,935",43,"89,088",2015,Bluegrass
4,"Software Developers, Applications","1,380",22,"45,730",36,"73,994",28,"57,412",34,"71,330",43,"89,727",51,"106,817",2015,Bluegrass
5,"Software Developers, Systems Software",530,26,"54,169",38,"79,860",30,"63,159",37,"76,619",45,"94,354",55,"114,675",2015,Bluegrass
6,Web Developers,310,15,"31,504",27,"55,240",20,"41,946",25,"51,118",32,"66,230",37,"76,261",2015,Bluegrass
7,Database Administrators,360,16,"33,835",27,"57,080",20,"40,665",26,"54,170",34,"70,243",42,"86,394",2015,Bluegrass
8,Network and Computer Systems Administrators,700,18,"36,821",29,"59,409",22,"45,717",28,"58,607",35,"71,966",40,"84,136",2015,Bluegrass
9,Computer Network Architects,360,21,"42,748",34,"70,442",23,"48,540",31,"64,544",41,"85,741",53,"109,272",2015,Bluegrass
10,Computer User Support Specialists,"1,710",9,"19,408",17,"35,263",11,"22,484",15,"30,164",21,"44,445",28,"57,885",2015,Bluegrass
11,Computer Network Support Specialists,280,16,"34,100",27,"56,797",21,"44,121",27,"55,471",32,"66,344",40,"82,275",2015,Bluegrass
12,"Computer Occupations, All Other",370,11,"23,253",33,"67,894",24,"49,611",34,"71,122",41,"85,945",49,"101,475",2015,Bluegrass
13,Operations Research Analysts,130,24,"50,566",38,"78,582",29,"59,446",35,"73,043",45,"94,105",55,"114,486",2015,Bluegrass
14,Statisticians,10,26,"53,525",36,"75,131",28,"58,620",34,"70,794",39,"81,929",54,"111,601",2015,Bluegrass
1,Computer Systems Analysts,410,22,"45,637",37,"76,846",27,"56,826",35,"72,323",44,"92,320",54,"112,183",2015,Northern Kentucky
2,Information Security Analysts,NA,20,"42,150",29,"60,416",22,"44,842",24,"49,327",39,"80,098",45,"93,135",2015,Northern Kentucky
3,Computer Programmers,120,18,"37,016",34,"69,898",24,"50,907",34,"71,589",43,"88,981",47,"98,665",2015,Northern Kentucky
4,"Software Developers, Applications",290,23,"47,938",35,"73,550",28,"58,686",35,"72,803",43,"88,667",48,"99,648",2015,Northern Kentucky
5,"Software Developers, Systems Software",290,24,"49,768",40,"82,264",30,"62,995",39,"81,206",50,"103,870",58,"121,208",2015,Northern Kentucky
6,Web Developers,70,16,"33,554",24,"50,840",19,"39,484",22,"46,623",30,"61,366",36,"75,739",2015,Northern Kentucky
7,Database Administrators,NA,24,"49,917",38,"79,118",27,"56,256",36,"74,012",51,"106,281",57,"118,633",2015,Northern Kentucky
8,Network and Computer Systems Administrators,530,20,"40,795",36,"75,760",26,"53,333",38,"79,275",46,"95,439",54,"111,942",2015,Northern Kentucky
9,Computer Network Architects,160,19,"40,104",34,"70,515",24,"50,402",33,"68,574",43,"90,207",50,"102,989",2015,Northern Kentucky
10,Computer User Support Specialists,640,16,"32,820",29,"60,935",18,"38,093",24,"50,719",34,"70,614",55,"113,948",2015,Northern Kentucky
11,Computer Network Support Specialists,200,16,"32,877",30,"62,759",18,"37,536",23,"48,218",41,"85,449",58,"120,301",2015,Northern Kentucky
12,"Computer Occupations, All Other",220,15,"31,140",36,"74,124",27,"56,244",38,"78,816",46,"94,662",52,"108,021",2015,Northern Kentucky
13,Operations Research Analysts,80,28,"57,895",39,"80,237",32,"66,840",36,"75,894",44,"92,196",55,"113,884",2015,Northern Kentucky
1,Computer Systems Analysts,60,21,"44,628",40,"83,543",25,"52,273",31,"64,096",44,"91,910",61,"126,566",2015,South Central
2,Information Security Analysts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015,South Central
3,Computer Programmers,40,18,"37,777",31,"64,201",22,"46,632",31,"63,879",38,"78,419",46,"94,988",2015,South Central
4,"Software Developers, Applications",110,13,"26,857",25,"52,386",14,"29,561",24,"50,317",34,"71,631",38,"78,748",2015,South Central
5,"Software Developers, Systems Software",NA,28,"59,019",37,"77,487",32,"66,595",35,"73,428",40,"82,684",53,"111,177",2015,South Central
6,Web Developers,40,12,"25,536",22,"45,532",15,"31,463",19,"40,422",26,"54,172",33,"68,795",2015,South Central
7,Database Administrators,NA,25,"51,881",39,"81,908",39,"80,809",42,"87,786",46,"94,822",48,"99,021",2015,South Central
8,Network and Computer Systems Administrators,120,18,"37,372",27,"56,973",21,"44,487",26,"55,048",33,"68,376",40,"82,411",2015,South Central
9,Computer Network Architects,30,17,"34,753",32,"66,960",20,"40,694",29,"59,408",38,"79,843",63,"131,030",2015,South Central
10,Computer User Support Specialists,200,12,"25,288",18,"37,649",15,"30,334",18,"36,815",21,"44,442",24,"50,373",2015,South Central
11,Computer Network Support Specialists,50,14,"28,881",22,"46,019",16,"33,979",21,"44,047",28,"58,266",31,"64,638",2015,South Central
12,"Computer Occupations, All Other",30,10,"21,814",31,"63,504",18,"37,400",33,"67,896",42,"86,958",51,"106,705",2015,South Central
13,Operations Research Analysts,80,17,"35,783",33,"68,584",22,"45,319",29,"60,980",44,"92,432",52,"109,016",2015,South Central
1,Computer Systems Analysts,150,25,"51,027",37,"76,119",30,"61,556",35,"72,301",44,"90,625",56,"116,836",2015,Western Kentucky
2,Information Security Analysts,20,21,"43,934",38,"79,678",24,"49,539",41,"85,094",46,"96,677",55,"114,394",2015,Western Kentucky
3,Computer Programmers,60,17,"34,608",25,"51,583",19,"38,575",22,"45,516",28,"57,989",38,"78,893",2015,Western Kentucky
4,"Software Developers, Applications",110,18,"38,268",29,"59,707",21,"44,280",26,"55,012",36,"74,215",43,"89,419",2015,Western Kentucky
5,"Software Developers, Systems Software",20,24,"50,067",39,"81,349",27,"56,293",35,"72,298",54,"112,204",61,"125,951",2015,Western Kentucky
6,Web Developers,50,13,"26,285",17,"35,233",13,"28,030",15,"30,938",18,"37,039",23,"47,496",2015,Western Kentucky
7,Database Administrators,60,13,"27,542",21,"43,623",15,"31,272",19,"39,611",25,"51,359",31,"64,145",2015,Western Kentucky
8,Network and Computer Systems Administrators,260,14,"29,560",25,"52,174",18,"37,176",23,"48,174",30,"61,545",38,"78,443",2015,Western Kentucky
9,Computer Network Architects,70,19,"40,130",27,"56,441",22,"44,902",25,"51,908",32,"67,262",38,"79,363",2015,Western Kentucky
10,Computer User Support Specialists,220,12,"24,311",18,"37,700",13,"27,937",16,"34,214",22,"46,492",28,"58,676",2015,Western Kentucky
11,Computer Network Support Specialists,100,16,"33,294",27,"56,782",19,"40,073",26,"54,453",33,"68,743",40,"82,187",2015,Western Kentucky
12,"Computer Occupations, All Other",60,26,"54,072",35,"73,472",30,"63,124",34,"71,353",41,"85,111",45,"92,782",2015,Western Kentucky
13,Operations Research Analysts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015,Western Kentucky
